"name"	"year"	"month"	"total_flights"	"n_distinct_destination"	"avg_air_time"	"avg_distance"	"perc_delayed"
"Fort Wayne"	2017	9	462	5	50.5778	279.6695	0.1002
"Lehigh Valley Intl"	2017	9	204	3	91.5825	606.0874	0.0777
"Mc Ghee Tyson"	2017	9	529	8	72.4093	476.5852	0.0833
"Phoenix Sky Harbor Intl"	2017	9	11460	84	122.9474	973.3377	0.0916
"Newport News Williamsburg Intl"	2017	9	82	1	79.5	508	0.0238
"Yampa Valley"	2017	9	58	1	31.2586	141	0.0345
"Louisville International Airport"	2017	9	798	14	80.3784	543.1622	0.0934
"Minneapolis St Paul Intl"	2017	9	11135	107	106.5701	779.9779	0.0585
"Chippewa Valley Regional Airport"	2017	9	55	1	48.4	269	0.0182
"Palm Beach Intl"	2017	9	1298	15	104.2431	893.2283	0.1525
"Duluth Intl"	2017	9	241	2	49.412	259.368	0.108
"Wilkes Barre Scranton Intl"	2017	9	203	4	72.6471	438	0.0882
"Arnold Palmer Regional Airport"	2017	9	49	3	86.6271	755.0508	0.0678
"Delta County Airport"	2017	9	51	1	51.0784	306	0.098
"Sitka Rocky Gutierrez"	2017	9	94	3	33.2842	195.3579	0.0737
"Lake Charles Rgnl"	2017	9	66	1	25.2568	127	0.0676
"Burlington Intl"	2017	9	303	5	73.2182	439.7134	0.1401
"Akron Canton Regional Airport"	2017	9	391	8	74.7624	516.6807	0.104
"Juneau Intl"	2017	9	328	6	69.3153	490.9339	0.1051
"Rochester"	2017	9	252	3	53.1451	327.6902	0.0941
"Honolulu Intl"	2017	9	3850	26	143.3642	1202.9279	0.035
"Tri Cities Airport"	2017	9	281	5	93.3452	656.9751	0.0747
"Aberdeen Regional Airport"	2017	9	60	1	45.85	257	0.1333
"Jacksonville Intl"	2017	9	1130	17	69.8323	558.8463	0.0936
"Capital City"	2017	9	186	4	43.6989	226.1075	0.0806
"Redding Muni"	2017	9	83	1	41.369	199	0.131
"Columbia Rgnl"	2017	9	90	2	69.8	433.3333	0.0556
"Santa Barbara Muni"	2017	9	460	6	68.6435	448.2978	0.137
"Syracuse Hancock Intl"	2017	9	538	9	80.3571	512.8462	0.0916
"Bert Mooney Airport"	2017	9	52	1	52.9455	358	0.1455
"Central Nebraska Regional Airport"	2017	9	60	1	80.6	561	0.1167
"Erie Intl Tom Ridge Fld"	2017	9	138	2	49.0072	255.5652	0.0797
"Boise Air Terminal"	2017	9	1355	17	88.9338	613.4717	0.0876
"Grand Forks Intl"	2017	9	51	1	51.7255	284	0.0196
"Fort Smith Rgnl"	2017	9	58	1	76.4667	579	0.0167
"Lea Co Rgnl"	2017	9	40	1	64.4783	501	0.0217
"Mc Carran Intl"	2017	9	12496	76	124.2735	1000.3368	0.1363
"Philadelphia Intl"	2017	9	5721	40	136.3998	1027.353	0.1137
"Newark Liberty Intl"	2017	9	8839	78	148.6712	1133.8514	0.153
"Louis Armstrong New Orleans Intl"	2017	9	3532	40	101.3293	764.6791	0.087
"Midland Intl"	2017	9	405	6	61.7459	423.7646	0.0653
"Chippewa County International Airport"	2017	9	55	1	46.5455	284	0.1455
"Portland Intl Jetport"	2017	9	540	8	93.6606	608.3449	0.1168
"Orlando Intl"	2017	9	8179	68	110.7432	964.1971	0.109
"Washington Dulles Intl"	2017	9	3007	40	170.4454	1293.3235	0.0833
"Dothan Rgnl"	2017	9	100	1	32.9905	170	0.0476
"Wiley Post Will Rogers Mem"	2017	9	77	2	87.1026	639.6154	0.0513
"Arcata"	2017	9	112	1	46.5826	250	0.1652
"Deadhorse"	2017	9	56	1	34.6167	204	0.1
"Quad City Intl"	2017	9	218	4	68.2353	430.2489	0.1176
"Lafayette Rgnl"	2017	9	164	2	56.8208	356.3642	0.0867
"Baltimore Washington Intl"	2017	9	7949	62	109.3045	810.2285	0.0832
"Buffalo Niagara Intl"	2017	9	1325	17	91.3252	635.6954	0.1091
"Adams Fld"	2017	9	653	9	79.3278	533.0167	0.091
"Manchester Regional Airport"	2017	9	564	9	101.1411	666.8223	0.0993
"Roberts Fld"	2017	9	348	6	83.3371	567	0.0914
"Hilo Intl"	2017	9	499	3	46.064	307.318	0.026
"Trenton Mercer"	2017	9	173	8	97.4667	694.8333	0.0889
"Raleigh Durham Intl"	2017	9	2930	34	96.9157	687.1293	0.103
"Jackson Hole Airport"	2017	9	338	7	93.7345	688.1888	0.0767
"Rapid City Regional Airport"	2017	9	310	4	73.6334	489.9904	0.045
"Stewart Intl"	2017	9	103	3	102.7281	781.3684	0.1491
"Bemidji Regional Airport"	2017	9	60	1	37.65	199	0.05
"Eppley Afld"	2017	9	1682	20	94.0969	660.1683	0.0549
"Bob Hope"	2017	9	2039	12	65.7448	444.8953	0.1433
"Golden Triangle Regional Airport"	2017	9	81	1	44.131	241	0.0714
"Fort Lauderdale Hollywood Intl"	2017	9	5421	60	111.9407	1025.521	0.1409
"San Luis County Regional Airport"	2017	9	251	3	48.155	261.2713	0.1434
"Montgomery Regional Airport"	2017	9	99	1	29.7476	147	0.068
"Lawton-Fort Sill Regional Airport"	2017	9	87	1	29.2529	140	0.1034
"Mc Allen Miller Intl"	2017	9	160	2	54.96	371.08	0.0686
"Petersburg James A. Johnson"	2017	9	59	2	18.8667	77	0.1333
"Charleston Afb Intl"	2017	9	1113	20	77.3207	560.0164	0.1054
"Natrona Co Intl"	2017	9	53	1	59.2642	320	0.0189
"Elko Regional Airport"	2017	9	53	1	37.6981	200	0.0377
"Los Angeles Intl"	2017	9	17201	73	158.4671	1294.5268	0.1056
"Miami Intl"	2017	9	3840	33	116.3027	1119.8277	0.1184
"Chicago Ohare Intl"	2017	9	22543	143	107.2955	792.1406	0.112
"Portland Intl"	2017	9	5480	46	130.652	1017.2563	0.0998
"Yuma Mcas Yuma Intl"	2017	9	102	1	32.6667	160	0.0686
"Ontario Intl"	2017	9	1754	13	77.4873	541.9525	0.116
"Appleton"	2017	9	232	4	57.9056	354.8455	0.0472
"Daytona Beach Intl"	2017	9	143	2	61.2201	465.0566	0.0755
"Yakutat"	2017	9	56	2	32.0667	205.5	0.2833
"La Guardia"	2017	9	7204	53	112.4521	824.9198	0.132
"Austin Straubel Intl"	2017	9	323	4	52.6451	292.284	0.0926
"Adak Airport"	2017	9	8	1	147.25	1192	0.125
"Wichita Mid Continent"	2017	9	648	10	87.4885	607.2137	0.0885
"Robert Gray Aaf"	2017	9	90	2	62.7423	454.9485	0.1237
"Helena Rgnl"	2017	9	145	4	79.6345	545.0276	0.069
"Toledo"	2017	9	24	1	44.2083	213	0.2917
"Key West Intl"	2017	9	47	1	38.785	646	0.0093
"Salt Lake City Intl"	2017	9	8994	81	97.9649	726.1303	0.0715
"Jackson Evers Intl"	2017	9	351	4	57.2527	376.0108	0.078
"Ralph Wien Mem"	2017	9	57	2	57.8103	396.9655	0.069
"Blue Grass"	2017	9	384	7	66.5888	385.5685	0.066
"Glacier Park Intl"	2017	9	215	5	108.9259	792.3519	0.0602
"Ford Airport"	2017	9	55	2	51.4364	296.5455	0.0545
"Gulfport-Biloxi"	2017	9	174	2	55.5934	361.8901	0.0659
"San Francisco Intl"	2017	9	14721	81	144.9511	1179.2207	0.184
"Laughlin-Bullhead Intl"	2017	9	30	1	39.6	188	0.1333
"Mbs Intl"	2017	9	227	3	36.6432	182.4758	0.0881
"Peoria Regional"	2017	9	226	3	38.557	188.1711	0.1579
"Charles M Schulz Sonoma Co"	2017	9	149	2	52.4533	319.2	0.2133
"Nashville Intl"	2017	9	4501	43	98.2196	707.6122	0.0977
"El Paso Intl"	2017	9	811	11	82.1384	615.858	0.0794
"Long Island Mac Arthur"	2017	9	342	5	98.5791	713.6354	0.0536
"Metropolitan Oakland Intl"	2017	9	4220	37	99.876	745.5146	0.1383
"Chicago Midway Intl"	2017	9	7013	64	105.8802	794.7192	0.1063
"Port Columbus Intl"	2017	9	1849	24	100.3683	718.0892	0.0765
"Yellowstone Rgnl"	2017	9	101	1	52.3137	298	0.0686
"NW Arkansas Regional"	2017	9	404	8	93.8905	652.927	0.056
"Monterey Peninsula"	2017	9	198	2	45.6111	213.5	0.1212
"Alpena County Regional Airport"	2017	9	52	2	31.6731	143.4231	0.1346
"Dane Co Rgnl Truax Fld"	2017	9	797	13	64.297	403.6366	0.094
"Wrangell Airport"	2017	9	59	2	16.2333	56.5	0.15
"La Crosse Municipal"	2017	9	143	2	36.8601	158.6084	0.035
"Austin Bergstrom Intl"	2017	9	4273	41	119.9662	904.3846	0.0918
"Abraham Lincoln Capital"	2017	9	85	1	38	174	0.0706
"Westchester Co"	2017	9	529	8	116.1528	897.9826	0.1458
"Roanoke Regional"	2017	9	54	2	58.4074	360.2222	0.0741
"Hector International Airport"	2017	9	281	3	62.6277	390.1844	0.0709
"Key Field"	2017	9	89	3	69.1444	407	0.2111
"Sacramento Intl"	2017	9	3881	30	100.1248	747.1606	0.0787
"Ithaca Tompkins Rgnl"	2017	9	83	1	59.3494	353	0.1205
"Barkley Regional Airport"	2017	9	56	1	68	342	0.1071
"Gallatin Field"	2017	9	440	9	103.0272	763.3401	0.059
"Seattle Tacoma Intl"	2017	9	11860	70	152.2104	1211.9263	0.0887
"Bismarck Municipal Airport"	2017	9	242	4	77.5185	507.9177	0.0741
"Gillette-Campbell County Airport"	2017	9	83	1	54.9881	313	0.0238
"Flagstaff Pulliam Airport"	2017	9	101	1	28.9208	119	0.0198
"Greenville-Spartanburg International"	2017	9	548	7	62.69	392.81	0.0681
"San Diego Intl"	2017	9	6905	52	126.9286	1008.9416	0.1062
"Pensacola Rgnl"	2017	9	349	7	54.837	360.6934	0.047
"Eglin Afb"	2017	9	301	3	63.4952	414.3365	0.0571
"Long Beach"	2017	9	1356	14	86.0433	627.9545	0.1336
"Merle K Mudhole Smith"	2017	9	60	2	34.7833	186.5	0.3
"Cherry Capital Airport"	2017	9	209	6	47.7116	263.9209	0.1488
"Pocatello Regional Airport"	2017	9	79	1	33.9114	150	0.0759
"Norman Y Mineta San Jose Intl"	2017	9	4151	32	104.877	767.0639	0.1022
"University Park Airport"	2017	9	143	2	66.2378	394.6573	0.1538
"Mahlon Sweet Fld"	2017	9	343	5	83.863	580.3878	0.1341
"Monroe Rgnl"	2017	9	100	2	54.7064	354.1468	0.0826
"Cleveland Hopkins Intl"	2017	9	3151	34	96.8528	685.2486	0.0989
"Corpus Christi Intl"	2017	9	194	2	33.8381	193.8	0.0857
"Alexandria Intl"	2017	9	61	1	33.4507	190	0.1268
"Dallas Love Fld"	2017	9	5554	54	96.9512	714.0221	0.1003
"Worcester Regional Airport"	2017	9	49	2	132.1897	1148.931	0.2069
"Kona Intl At Keahole"	2017	9	999	11	104.1972	835.1205	0.0279
"Augusta Rgnl At Bush Fld"	2017	9	193	1	31.2386	143	0.0711
"Waterloo Regional Airport"	2017	9	55	1	44.0364	234	0.1455
"Barnstable Muni Boardman Polando Fld"	2017	9	15	1	39	196	0.1875
"Columbia Metropolitan"	2017	9	305	4	57.5548	349.6645	0.071
"John Wayne Arpt Orange Co"	2017	9	3513	20	102.2619	764.0624	0.0993
"Myrtle Beach Intl"	2017	9	616	20	67.6773	501.5515	0.0955
"Rick Husband Amarillo Intl"	2017	9	240	4	61.6245	435.3874	0.0395
"Hays Regional Airport"	2017	9	49	1	50.5686	298	0.0784
"Ketchikan Intl"	2017	9	189	4	65.9684	448.4211	0.0895
"Roswell Intl Air Center"	2017	9	30	1	72.7333	433	0
"Indianapolis Intl"	2017	9	2071	27	108.2108	780.1895	0.0857
"Bangor Intl"	2017	9	95	3	112.1771	737.0208	0.1146
"St George Muni"	2017	9	234	3	53.2094	332.2564	0.0641
"Manhattan Reigonal"	2017	9	86	1	65.186	431	0.0581
"Eagle Co Rgnl"	2017	9	30	2	96.6774	727.871	0.129
"Gainesville Rgnl"	2017	9	56	1	49.2203	300	0.1525
"Sawyer International Airport"	2017	9	83	2	54.0119	331.5	0.1548
"Bishop International"	2017	9	331	3	57.5808	324.8383	0.0838
"Gerald R Ford Intl"	2017	9	781	11	62.9606	390.313	0.0992
"Fayetteville Regional Grannis Field"	2017	9	95	1	57.551	331	0.0918
"Greater Rochester Intl"	2017	9	650	10	70.6134	438.4795	0.1111
"San Antonio Intl"	2017	9	2592	29	101.9388	755.9709	0.0729
"Harrisburg Intl"	2017	9	315	5	78.4589	498.6741	0.0759
"Easterwood Fld"	2017	9	107	2	28.4775	122.6486	0.0811
"Lincoln"	2017	9	223	4	69.067	435.5268	0.0625
"Memphis Intl"	2017	9	1195	19	79.6915	556.8985	0.0687
"Charlottesville-Albemarle"	2017	9	142	3	75.9388	508.2245	0.1361
"Plattsburgh Intl"	2017	9	11	3	133.8462	1232.7692	0
"Norfolk Intl"	2017	9	1075	15	81.616	520.4125	0.0856
"Valley Intl"	2017	9	184	3	42.3299	279.0406	0.0964
"Magic Valley Regional Airport"	2017	9	83	2	35.0964	173.747	0.0602
"Mobile Rgnl"	2017	9	292	3	59.6452	389.6581	0.0677
"City Of Colorado Springs Muni"	2017	9	802	13	95.1526	689.9988	0.0881
"Pellston Regional Airport of Emmet County Airport"	2017	9	80	2	36.3086	197.8889	0.1481
"Laredo Intl"	2017	9	151	2	53.525	349.6875	0.0813
"Joplin Rgnl"	2017	9	10	1	50.9	327	0
"Albuquerque International Sunport"	2017	9	1681	22	96.8264	722.2937	0.08
"Central Wisconsin"	2017	9	54	1	50.3333	213	0.0741
"Dallas Fort Worth Intl"	2017	9	14366	100	120.3331	922.8132	0.0897
"Wilmington Intl"	2017	9	196	3	48.6616	267.697	0.0455
"Kodiak"	2017	9	53	1	41.1321	253	0.0755
"Atlantic City Intl"	2017	9	209	7	99.9167	824	0.0792
"Detroit Metro Wayne Co"	2017	9	10398	101	95.2345	680.8363	0.094
"John F Kennedy Intl"	2017	9	7167	57	190.2481	1473.8746	0.1363
"Central Illinois Rgnl"	2017	9	162	3	51.4024	296.2927	0.1037
"Muskegon County Airport"	2017	9	55	1	30.6182	118	0.0727
"Richmond Intl"	2017	9	1352	13	80.0109	538.5062	0.1347
"Hattiesburg Laurel Regional Airport"	2017	9	59	1	17.6	69	0.0833
"Kansas City Intl"	2017	9	3577	37	100.3982	737.9569	0.0667
"Ronald Reagan Washington Natl"	2017	9	5713	45	106.7937	783.2292	0.1082
"Idaho Falls Rgnl"	2017	9	198	2	50.7879	302.5455	0.0758
"Tulsa Intl"	2017	9	1072	14	72.3594	496.9891	0.0428
"Springfield Branson Natl"	2017	9	251	4	81.2452	567.023	0.0805
"Friedman Mem"	2017	9	104	3	46.0273	301.4091	0.1091
"Savannah Hilton Head Intl"	2017	9	622	10	69.6308	530.4128	0.0799
"Ted Stevens Anchorage Intl"	2017	9	1435	21	161.9813	1309.6341	0.0665
"Birmingham Intl"	2017	9	947	13	76.364	513.4186	0.0708
"George Bush Intercontinental"	2017	9	8914	100	103.7145	847.1024	0.0788
"Yeager"	2017	9	88	4	77.0978	528.2609	0.0978
"Falls Intl"	2017	9	52	1	45.5385	255	0.0192
"Brownsville South Padre Island Intl"	2017	9	90	1	49.4227	308	0.0206
"Greater Binghamton Edwin A Link Fld"	2017	9	83	1	63.1325	378	0.1325
"San Angelo Rgnl Mathis Fld"	2017	9	89	1	41.7753	229	0.0225
"Lihue"	2017	9	952	10	109.8898	892.1448	0.0367
"Melbourne Intl"	2017	9	99	1	59.9167	442	0.0741
"Charlotte Douglas Intl"	2017	9	9095	67	98.4169	721.5845	0.1054
"Pittsburgh Intl"	2017	9	2326	28	105.1667	763.8061	0.0733
"Nome"	2017	9	56	2	70.0345	514.4483	0.0345
"Lubbock Preston Smith Intl"	2017	9	310	6	63.0094	413.3899	0.0723
"Missoula Intl"	2017	9	243	5	95.8395	689.6955	0.0617
"Cincinnati Northern Kentucky Intl"	2017	9	1708	28	109.2192	764.0914	0.0862
"Panama City-NW Florida Bea."	2017	9	338	5	57.0274	393.6493	0.0329
"Albert J Ellis"	2017	9	26	1	60.4074	399	0.037
"William P Hobby"	2017	9	3784	45	83.0416	687.5367	0.1048
"Aspen Pitkin County Sardy Field"	2017	9	330	6	63.994	418.1782	0.0997
"Des Moines Intl"	2017	9	732	11	88.0853	613.4452	0.0771
"South Bend Rgnl"	2017	9	456	5	54.319	318.6767	0.1099
"Devils Lake Regional Airport"	2017	9	48	2	47.7059	311.5294	0.0392
"Laramie Regional Airport"	2017	9	51	1	27.2157	113	0.098
"Martha\\'s Vineyard"	2017	9	40	2	32.7381	150.9286	0.119
"Cedar Rapids"	2017	9	501	6	67.7853	420.338	0.0835
"Rhinelander Oneida County Airport"	2017	9	60	1	42.8	190	0.0333
"Hartsfield Jackson Atlanta Intl"	2017	9	27559	146	89.8139	668.1069	0.0867
"Nantucket Mem"	2017	9	109	3	38.7456	192.614	0.2368
"Kalamazoo"	2017	9	192	3	39.1406	176.7865	0.125
"Rogue Valley Intl Medford"	2017	9	320	5	83.4766	566.9128	0.1059
"Huntsville International Airport-Carl T Jones Field"	2017	9	320	4	50.6607	315.7351	0.0655
"Tucson Intl"	2017	9	1130	14	100.8152	746.2087	0.0973
"Southwest Florida Intl"	2017	9	1164	24	101.0129	912.7284	0.13
"Spokane Intl"	2017	9	1293	15	81.0885	567.6792	0.0885
"Jamestown Regional Airport"	2017	9	78	2	44.6914	264.4815	0.0741
"Sarasota Bradenton Intl"	2017	9	175	3	71.298	546.2121	0.0758
"Tampa Intl"	2017	9	4143	52	101.44	876.9901	0.0951
"Billings Logan International Airport"	2017	9	277	3	72.1733	491.6318	0.0505
"General Mitchell Intl"	2017	9	2174	25	96.2966	683.0059	0.078
"Sioux Falls"	2017	9	376	5	68.2633	446.4681	0.0878
"Fairbanks Intl"	2017	9	273	2	132.8152	1039.8696	0.0725
"Brainerd Lakes Rgnl"	2017	9	51	1	29.0784	114	0.0588
"Great Falls Intl"	2017	9	140	3	83.7214	583.5714	0.0286
"Fresno Yosemite Intl"	2017	9	691	9	75.1124	495.3761	0.1167
"Durango La Plata Co"	2017	9	73	2	48.137	278.2192	0.0685
"Lewiston Nez Perce Co"	2017	9	81	1	68.2593	461	0.037
"Meadows Fld"	2017	9	188	3	76.1323	490.582	0.0794
"Piedmont Triad"	2017	9	500	7	61.6098	388.2863	0.1255
"Niagara Falls Intl"	2017	9	26	3	106.1786	872.0714	0.0714
"Lovell Fld"	2017	9	262	3	58.0485	345.6045	0.1157
"Minot Intl"	2017	9	114	2	79.8333	529.2193	0.0789
"Chisholm Hibbing"	2017	9	50	1	37.1569	174	0.0196
"Palm Springs Intl"	2017	9	513	8	77.9922	527.2359	0.1131
"Albany Intl"	2017	9	756	12	103.6261	707.5291	0.0763
"Will Rogers World"	2017	9	1146	16	83.6171	587.9438	0.0588
"Theodore Francis Green State"	2017	9	1078	13	97.5463	673.1783	0.1061
"Asheville Regional Airport"	2017	9	338	3	55.6667	329.8261	0.1681
"Denver Intl"	2017	9	18675	126	115.6277	895.2627	0.1018
"Sloulin Fld Intl"	2017	9	132	2	86.7348	563.0455	0.1136
"Lambert St Louis Intl"	2017	9	4578	50	98.931	727.76	0.0851
"Santa Barbara Muni"	2017	8	447	6	62.3874	417.5714	0.2165
"Syracuse Hancock Intl"	2017	8	507	10	83.2732	531.5712	0.1461
"Bert Mooney Airport"	2017	8	58	1	55.8276	358	0.0517
"Central Nebraska Regional Airport"	2017	8	58	1	80.0169	561	0.2203
"Erie Intl Tom Ridge Fld"	2017	8	145	2	47.7347	256.3265	0.1088
"Boise Air Terminal"	2017	8	1430	17	89.9944	639.2911	0.1428
"Grand Forks Intl"	2017	8	137	1	50.8478	284	0.0435
"Fort Smith Rgnl"	2017	8	60	1	80.0833	579	0.1333
"Columbia Rgnl"	2017	8	94	2	68.1684	427.1053	0.1053
"Lea Co Rgnl"	2017	8	45	1	61.6	501	0.1091
"Mc Carran Intl"	2017	8	13161	76	123.827	1003.0153	0.219
"Philadelphia Intl"	2017	8	6382	46	146.5343	1068.3669	0.2103
"Newark Liberty Intl"	2017	8	10247	82	152.2649	1124.4838	0.2218
"Louis Armstrong New Orleans Intl"	2017	8	3768	41	103.0765	767.4377	0.1797
"Midland Intl"	2017	8	425	6	62.4667	437.1548	0.1591
"Chippewa County International Airport"	2017	8	57	1	45.9138	284	0.1724
"Portland Intl Jetport"	2017	8	667	10	87.3601	544.373	0.1836
"Orlando Intl"	2017	8	10958	71	130.3254	982.5801	0.1893
"Washington Dulles Intl"	2017	8	3582	37	176.0949	1307.9277	0.1603
"Dothan Rgnl"	2017	8	120	1	34.9667	170	0.1583
"Wiley Post Will Rogers Mem"	2017	8	77	2	84.3418	637.8861	0.0506
"Arcata"	2017	8	92	1	45.9381	250	0.3608
"Deadhorse"	2017	8	61	1	35.4839	204	0.0968
"Quad City Intl"	2017	8	299	5	69.5282	436.1661	0.1462
"Lafayette Rgnl"	2017	8	149	2	61.7722	397.8734	0.1203
"Baltimore Washington Intl"	2017	8	8803	63	115.4743	831.0346	0.1987
"Buffalo Niagara Intl"	2017	8	1589	17	92.9202	631.1541	0.1682
"Adams Fld"	2017	8	597	9	74.8896	513.8782	0.1591
"Manchester Regional Airport"	2017	8	538	8	105.1282	679.5126	0.1697
"Roberts Fld"	2017	8	400	6	80.8522	556	0.2044
"Hilo Intl"	2017	8	538	3	49.0928	333.5009	0.0501
"Trenton Mercer"	2017	8	184	8	103.5775	695.8717	0.1872
"Raleigh Durham Intl"	2017	8	3229	36	103.9469	720.5056	0.1602
"Jackson Hole Airport"	2017	8	528	11	99.2279	739.4576	0.1036
"Rapid City Regional Airport"	2017	8	412	6	73.559	508.5398	0.0892
"Stewart Intl"	2017	8	117	3	114.05	775.825	0.275
"Bemidji Regional Airport"	2017	8	61	1	36.7581	199	0.0484
"Eppley Afld"	2017	8	1681	22	92.5009	664.2944	0.1105
"Bob Hope"	2017	8	2216	12	66.1576	455.5536	0.2296
"Golden Triangle Regional Airport"	2017	8	88	1	46.0562	241	0.1124
"Fort Lauderdale Hollywood Intl"	2017	8	7310	60	133.8708	1024.2639	0.2227
"San Luis County Regional Airport"	2017	8	265	4	48.3321	262.438	0.2591
"Lawton-Fort Sill Regional Airport"	2017	8	89	1	28.0745	140	0.2128
"Mc Allen Miller Intl"	2017	8	145	2	55.5153	380.7669	0.0982
"Petersburg James A. Johnson"	2017	8	61	2	19.2258	77	0.0645
"Charleston Afb Intl"	2017	8	1240	20	82.6811	578.2071	0.148
"Natrona Co Intl"	2017	8	66	1	56.6061	320	0.0152
"Elko Regional Airport"	2017	8	58	1	36.8966	200	0.0172
"Los Angeles Intl"	2017	8	19135	76	160.6876	1322.1704	0.1824
"Miami Intl"	2017	8	5580	35	148.981	1130.6003	0.1831
"Chicago Ohare Intl"	2017	8	25295	150	107.83	793.2478	0.1758
"Portland Intl"	2017	8	5864	48	143.8525	1139.9589	0.1274
"Yuma Mcas Yuma Intl"	2017	8	118	1	32.5085	160	0.1017
"Ontario Intl"	2017	8	1767	14	77.4134	556.1454	0.2173
"Montgomery Regional Airport"	2017	8	68	1	31.3188	147	0.2174
"Appleton"	2017	8	324	4	52.8689	309.7195	0.1341
"Daytona Beach Intl"	2017	8	177	2	68.2022	457.4326	0.1236
"Yakutat"	2017	8	62	2	35.9677	205.5	0.1613
"La Guardia"	2017	8	7882	56	116.6385	831.5774	0.1919
"Austin Straubel Intl"	2017	8	402	4	50.6143	277.6167	0.1229
"Adak Airport"	2017	8	9	1	152	1192	0.6667
"Wichita Mid Continent"	2017	8	706	10	87.545	615.8465	0.1231
"Robert Gray Aaf"	2017	8	117	3	58.8504	401.4646	0.0787
"Helena Rgnl"	2017	8	149	3	77.4437	546.3245	0.0596
"Toledo"	2017	8	26	1	45	213	0.1111
"Key West Intl"	2017	8	125	1	93.448	646	0.048
"Salt Lake City Intl"	2017	8	10139	84	98.9224	746.6878	0.1093
"Jackson Evers Intl"	2017	8	381	4	56.8127	378.8345	0.0998
"Ralph Wien Mem"	2017	8	62	2	58.5484	394.9355	0.0968
"Blue Grass"	2017	8	451	7	67.0853	396.5096	0.1514
"Glacier Park Intl"	2017	8	349	7	109.4527	823.0172	0.1175
"Ford Airport"	2017	8	58	2	50.931	297.5	0.0862
"Gulfport-Biloxi"	2017	8	188	2	53.6683	362.0683	0.1171
"San Francisco Intl"	2017	8	16302	80	144.8698	1195.8026	0.2799
"Laughlin-Bullhead Intl"	2017	8	31	1	39.5484	188	0.1613
"Mbs Intl"	2017	8	250	3	36.1186	183.4585	0.1225
"Peoria Regional"	2017	8	257	4	41.8523	216.7955	0.1705
"Charles M Schulz Sonoma Co"	2017	8	149	2	51.5355	319.2	0.329
"Nashville Intl"	2017	8	4824	43	100.4159	718.6399	0.1671
"El Paso Intl"	2017	8	878	11	82.3362	623.877	0.1643
"Long Island Mac Arthur"	2017	8	388	5	109.4	721.3544	0.1899
"Metropolitan Oakland Intl"	2017	8	4472	38	104.7919	799.4458	0.211
"Chicago Midway Intl"	2017	8	7790	65	108.751	811.997	0.1788
"Port Columbus Intl"	2017	8	2107	26	104.4813	727.7822	0.1304
"Yellowstone Rgnl"	2017	8	113	3	53.6106	313.4336	0.0531
"NW Arkansas Regional"	2017	8	431	8	94.9863	665.7904	0.1185
"Valdosta Regional Airport"	2017	8	73	1	46.5068	208	0.0959
"Monterey Peninsula"	2017	8	220	3	46.3761	245.7179	0.2222
"Gustavus Airport"	2017	8	24	1	13.7692	41	0.2308
"Craven Co Rgnl"	2017	8	51	1	72.6275	433	0.0784
"Alpena County Regional Airport"	2017	8	53	2	32.717	144.4528	0.0755
"Dane Co Rgnl Truax Fld"	2017	8	887	9	62.7293	393.3065	0.113
"Wrangell Airport"	2017	8	62	2	15.871	56.5	0.0968
"King Salmon"	2017	8	5	1	46	288	0
"La Crosse Municipal"	2017	8	189	2	37.6526	170.0316	0.1421
"Austin Bergstrom Intl"	2017	8	4534	43	120.183	910.9955	0.1711
"Abraham Lincoln Capital"	2017	8	86	1	37.4045	174	0.1348
"Westchester Co"	2017	8	624	8	125.4969	899.7053	0.1771
"Roanoke Regional"	2017	8	99	2	62.0505	369.303	0.1111
"Hector International Airport"	2017	8	264	3	62.6716	410.2164	0.1269
"Key Field"	2017	8	92	3	65.7204	407	0.3548
"Sacramento Intl"	2017	8	4090	30	101.4696	771.9913	0.176
"Ithaca Tompkins Rgnl"	2017	8	89	1	59.5955	353	0.1798
"Barkley Regional Airport"	2017	8	57	1	65.7759	342	0.1552
"Gallatin Field"	2017	8	613	12	99.8766	757.7224	0.1153
"Seattle Tacoma Intl"	2017	8	13484	73	159.9278	1289.7115	0.1476
"Bismarck Municipal Airport"	2017	8	256	4	73.8333	494.5969	0.1357
"Gillette-Campbell County Airport"	2017	8	89	1	52.9663	313	0.1685
"Flagstaff Pulliam Airport"	2017	8	117	1	28.1864	119	0.1102
"Greenville-Spartanburg International"	2017	8	573	7	59.0717	366.2782	0.1468
"San Diego Intl"	2017	8	7797	52	128.5721	1035.5921	0.161
"Pensacola Rgnl"	2017	8	431	11	61.1133	406.7	0.1111
"Eglin Afb"	2017	8	311	3	59.4479	381.3098	0.0859
"Long Beach"	2017	8	1398	14	86.4014	642.4865	0.1851
"Merle K Mudhole Smith"	2017	8	62	2	35.0484	186.5	0.0968
"Cherry Capital Airport"	2017	8	451	7	51.0349	290.4258	0.1681
"Pocatello Regional Airport"	2017	8	85	1	31.9647	150	0.0588
"Norman Y Mineta San Jose Intl"	2017	8	4403	32	105.8443	786.8293	0.1739
"University Park Airport"	2017	8	151	2	69.2583	394.2053	0.1722
"Mahlon Sweet Fld"	2017	8	396	6	83.9322	586.6759	0.206
"Monroe Rgnl"	2017	8	115	2	56.4444	362.381	0.0714
"Cleveland Hopkins Intl"	2017	8	3277	36	104.0803	733.0638	0.1244
"Corpus Christi Intl"	2017	8	162	2	28.6763	193.1546	0.1304
